date,country,networks,market_volume
2021-04-26,US,Chartboost,587377.0
2021-04-27,US,Chartboost,531554.0
2021-04-28,US,Chartboost,575578.0
2021-04-29,US,Chartboost,559417.0
2021-04-30,US,Chartboost,634445.0
2021-05-01,US,Chartboost,823309.0
2021-05-02,US,Chartboost,909590.0
2021-05-03,US,Chartboost,659235.0
2021-05-04,US,Chartboost,645173.0
2021-05-05,US,Chartboost,590402.0
2021-05-06,US,Chartboost,534803.0
2021-05-07,US,Chartboost,585081.0
2021-05-08,US,Chartboost,719706.0
2021-05-09,US,Chartboost,790124.0
2021-05-10,US,Chartboost,553759.0
2021-05-11,US,Chartboost,550191.0
2021-05-12,US,Chartboost,546066.0
2021-05-13,US,Chartboost,507630.0
2021-05-14,US,Chartboost,650133.0
2021-05-15,US,Chartboost,742713.0
2021-05-16,US,Chartboost,859790.0
2021-05-17,US,Chartboost,628866.0
2021-05-18,US,Chartboost,574567.0
2021-05-19,US,Chartboost,567799.0
2021-05-20,US,Chartboost,692391.0
2021-05-21,US,Chartboost,704386.0
2021-05-22,US,Chartboost,785937.0
2021-05-23,US,Chartboost,912559.0
2021-05-24,US,Chartboost,714513.0
2021-05-25,US,Chartboost,654892.0
2021-05-26,US,Chartboost,665103.0
2021-05-27,US,Chartboost,697289.0
2021-05-28,US,Chartboost,806941.0
2021-05-29,US,Chartboost,905910.0
2021-05-30,US,Chartboost,828526.0
2021-05-31,US,Chartboost,818901.0
2021-06-01,US,Chartboost,711913.0
2021-06-02,US,Chartboost,676569.0
2021-06-03,US,Chartboost,691880.0
2021-06-04,US,Chartboost,745231.0
2021-06-05,US,Chartboost,948677.0
2021-06-06,US,Chartboost,906944.0
2021-06-07,US,Chartboost,757323.0
2021-06-08,US,Chartboost,598699.0
2021-06-09,US,Chartboost,557607.0
2021-06-10,US,Chartboost,651967.0
2021-06-11,US,Chartboost,639058.0
2021-06-12,US,Chartboost,690923.0
2021-06-13,US,Chartboost,740159.0
2021-06-14,US,Chartboost,756930.0
2021-06-15,US,Chartboost,703565.0
2021-06-16,US,Chartboost,604247.0
2021-06-17,US,Chartboost,648850.0
2021-06-18,US,Chartboost,621737.0
2021-06-19,US,Chartboost,750162.0
2021-06-20,US,Chartboost,780257.0
2021-06-21,US,Chartboost,677995.0
2021-06-22,US,Chartboost,620481.0
2021-06-23,US,Chartboost,615105.0
2021-06-24,US,Chartboost,567722.0
2021-06-25,US,Chartboost,648421.0
2021-06-26,US,Chartboost,1023545.0
2021-06-27,US,Chartboost,999679.0
2021-06-28,US,Chartboost,871307.0
2021-06-29,US,Chartboost,852565.0
2021-06-30,US,Chartboost,575532.0
2021-07-01,US,Chartboost,602222.0
2021-07-02,US,Chartboost,668613.0
2021-07-03,US,Chartboost,702992.0
2021-07-04,US,Chartboost,650006.0
2021-07-05,US,Chartboost,697576.0
2021-07-06,US,Chartboost,765443.0
2021-07-07,US,Chartboost,685801.0
2021-07-08,US,Chartboost,652742.0
2021-07-09,US,Chartboost,673661.0
2021-07-10,US,Chartboost,682340.0
2021-07-11,US,Chartboost,780817.0
2021-07-12,US,Chartboost,656405.0
2021-07-13,US,Chartboost,669405.0
2021-07-14,US,Chartboost,587838.0
2021-07-15,US,Chartboost,603046.0
2021-07-16,US,Chartboost,622625.0
2021-07-17,US,Chartboost,639164.0
2021-07-18,US,Chartboost,733702.0
2021-07-19,US,Chartboost,655970.0
2021-07-20,US,Chartboost,686170.0
2021-07-21,US,Chartboost,610718.0
2021-07-22,US,Chartboost,542452.0
2021-07-23,US,Chartboost,490138.0
2021-07-24,US,Chartboost,588914.0
2021-07-25,US,Chartboost,687110.0
2021-07-26,US,Chartboost,652490.0
2021-07-27,US,Chartboost,594165.0
2021-07-28,US,Chartboost,580771.0
2021-07-29,US,Chartboost,632875.0
2021-07-30,US,Chartboost,622241.0
2021-07-31,US,Chartboost,675345.0
2021-08-01,US,Chartboost,685015.0
2021-08-02,US,Chartboost,643408.0
2021-08-03,US,Chartboost,595992.0
2021-08-04,US,Chartboost,549312.0
2021-08-05,US,Chartboost,620891.0
2021-08-06,US,Chartboost,733361.0
2021-08-07,US,Chartboost,587191.0
2021-08-08,US,Chartboost,677473.0
2021-08-09,US,Chartboost,763256.0
2021-08-10,US,Chartboost,782217.0
2021-08-11,US,Chartboost,798396.0
2021-08-12,US,Chartboost,798593.0
2021-08-13,US,Chartboost,762166.0
2021-08-14,US,Chartboost,1106440.0
2021-08-15,US,Chartboost,891085.0
2021-08-16,US,Chartboost,631105.0
2021-08-17,US,Chartboost,910350.0
2021-08-18,US,Chartboost,715062.0
2021-08-19,US,Chartboost,446463.0
2021-08-20,US,Chartboost,807550.0
2021-08-21,US,Chartboost,985649.0
2021-08-22,US,Chartboost,1024054.0
2021-08-23,US,Chartboost,917020.0
2021-08-24,US,Chartboost,631766.0
2021-08-25,US,Chartboost,576708.0
2021-08-26,US,Chartboost,637086.0
2021-08-27,US,Chartboost,688605.0
2021-08-28,US,Chartboost,587558.0
2021-08-29,US,Chartboost,563309.0
2021-08-30,US,Chartboost,773805.0
2021-08-31,US,Chartboost,531019.0
2021-09-01,US,Chartboost,636014.0
2021-09-02,US,Chartboost,600971.0
2021-09-03,US,Chartboost,543438.0
2021-09-04,US,Chartboost,522202.0
2021-09-05,US,Chartboost,1108872.0
2021-09-06,US,Chartboost,866852.0
2021-09-07,US,Chartboost,760538.0
2021-09-08,US,Chartboost,666332.0
2021-09-09,US,Chartboost,633157.0
2021-09-10,US,Chartboost,874192.0
2021-09-11,US,Chartboost,1063131.0
2021-09-12,US,Chartboost,879964.0
2021-09-13,US,Chartboost,478135.0
2021-09-14,US,Chartboost,586077.0
2021-09-15,US,Chartboost,526746.0
2021-09-16,US,Chartboost,565697.0
2021-09-17,US,Chartboost,546408.0
2021-09-18,US,Chartboost,962113.0
2021-09-19,US,Chartboost,1198287.0
2021-09-20,US,Chartboost,519323.0
2021-09-21,US,Chartboost,591775.0
2021-09-22,US,Chartboost,729584.0
2021-09-23,US,Chartboost,769938.0
2021-09-24,US,Chartboost,522578.0
2021-09-25,US,Chartboost,1246207.0
2021-09-26,US,Chartboost,1384066.0
2021-09-27,US,Chartboost,753902.0
2021-09-28,US,Chartboost,848211.0
2021-09-29,US,Chartboost,835331.0
2021-09-30,US,Chartboost,794730.0
2021-10-01,US,Chartboost,998059.0
2021-10-02,US,Chartboost,693958.0
2021-10-03,US,Chartboost,1106630.0
2021-10-04,US,Chartboost,788824.0
2021-10-05,US,Chartboost,765005.0
2021-10-06,US,Chartboost,815844.0
2021-10-07,US,Chartboost,803033.0
2021-10-08,US,Chartboost,954612.0
2021-10-09,US,Chartboost,1038100.0
2021-10-10,US,Chartboost,1144316.0
2021-10-11,US,Chartboost,586845.0
2021-10-12,US,Chartboost,738643.0
2021-10-13,US,Chartboost,400932.0
2021-10-14,US,Chartboost,822314.0
2021-10-15,US,Chartboost,1238490.0
2021-10-16,US,Chartboost,1013670.0
2021-10-17,US,Chartboost,1382870.0
2021-10-18,US,Chartboost,803720.0
2021-10-19,US,Chartboost,800638.0
2021-10-20,US,Chartboost,726209.0
2021-10-21,US,Chartboost,888339.0
2021-10-22,US,Chartboost,713136.0
2021-10-23,US,Chartboost,1077005.0
2021-10-24,US,Chartboost,1061161.0
2021-10-25,US,Chartboost,881835.0
2021-10-26,US,Chartboost,563830.0
2021-10-27,US,Chartboost,802869.0
2021-10-28,US,Chartboost,630915.0
2021-10-29,US,Chartboost,752563.0
2021-10-30,US,Chartboost,1575308.0
2021-10-31,US,Chartboost,802978.0
2021-11-01,US,Chartboost,734000.0
2021-11-02,US,Chartboost,715524.0
2021-11-03,US,Chartboost,596543.0
2021-11-04,US,Chartboost,462957.0
2021-11-05,US,Chartboost,531562.0
2021-11-06,US,Chartboost,1067702.0
2021-11-07,US,Chartboost,634117.0
2021-11-08,US,Chartboost,400210.0
2021-11-09,US,Chartboost,1085963.0
2021-11-10,US,Chartboost,666267.0
2021-11-11,US,Chartboost,1386273.0
2021-11-13,US,Chartboost,3459428.0
2021-11-14,US,Chartboost,1504980.0
2021-11-15,US,Chartboost,1049878.0
2021-11-16,US,Chartboost,928524.0
2021-11-17,US,Chartboost,1429931.0
2021-11-18,US,Chartboost,461792.0
2021-11-19,US,Chartboost,848622.0
2021-11-20,US,Chartboost,1819543.0
2021-11-21,US,Chartboost,2247542.0
2021-11-22,US,Chartboost,1152666.0
2021-11-23,US,Chartboost,431871.0
2021-11-24,US,Chartboost,2317109.0
2021-11-25,US,Chartboost,1026895.0
2021-11-26,US,Chartboost,2123991.0
2021-11-27,US,Chartboost,1054426.0
2021-11-28,US,Chartboost,1580201.0
2021-11-29,US,Chartboost,174538.0
2021-11-30,US,Chartboost,146030.0
2021-12-01,US,Chartboost,767465.0
2021-12-02,US,Chartboost,650897.0
2021-12-03,US,Chartboost,992310.0
2021-12-04,US,Chartboost,839468.0
2021-12-05,US,Chartboost,192650.0
2021-12-06,US,Chartboost,876738.0
2021-12-07,US,Chartboost,394214.0
2021-12-08,US,Chartboost,249483.0
2021-12-09,US,Chartboost,569564.0
2021-12-10,US,Chartboost,38252.0
2021-12-11,US,Chartboost,119339.0
2021-12-12,US,Chartboost,91573.0
2021-12-13,US,Chartboost,573224.0
2021-12-14,US,Chartboost,633732.0
2021-12-15,US,Chartboost,639780.0
2021-12-16,US,Chartboost,430600.0
2021-12-17,US,Chartboost,898136.0
2021-12-18,US,Chartboost,208072.0
2021-12-19,US,Chartboost,554131.0
2021-12-20,US,Chartboost,420554.0
2021-12-21,US,Chartboost,218787.0
2021-12-22,US,Chartboost,506703.0
2021-12-23,US,Chartboost,78772.0
2021-12-24,US,Chartboost,322401.0
2021-12-25,US,Chartboost,1084497.0
2021-12-26,US,Chartboost,637691.0
2021-12-27,US,Chartboost,794598.0
2021-12-28,US,Chartboost,743491.0
2021-12-29,US,Chartboost,676185.0
2021-12-30,US,Chartboost,659138.0
2021-12-31,US,Chartboost,817025.0
2022-01-01,US,Chartboost,858571.0
2022-01-02,US,Chartboost,570189.0
2022-01-03,US,Chartboost,398990.0
2022-01-04,US,Chartboost,327252.0
2022-01-05,US,Chartboost,371850.0
2022-01-06,US,Chartboost,390631.0
2022-01-07,US,Chartboost,387718.0
2022-01-08,US,Chartboost,879124.0
2022-01-09,US,Chartboost,587523.0
2022-01-10,US,Chartboost,289881.0
2022-01-11,US,Chartboost,260066.0
2022-01-12,US,Chartboost,224792.0
2022-01-13,US,Chartboost,413399.0
2022-01-14,US,Chartboost,469004.0
2022-01-15,US,Chartboost,614307.0
2022-01-16,US,Chartboost,1121639.0
2022-01-17,US,Chartboost,386716.0
2022-01-18,US,Chartboost,314656.0
2022-01-19,US,Chartboost,397426.0
2022-01-20,US,Chartboost,294698.0
2022-01-21,US,Chartboost,400363.0
2022-01-22,US,Chartboost,387024.0
2022-01-23,US,Chartboost,514858.0
